"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"254910","1","","0","0","2","1","0","3","0","0","4","4","3","2025","2025","0"," "," "," ","0"," ","0","          NE 73RD                      ST      98033","     ","   ","NE","73RD                     ","ST  ","  ","98033"
"255170","1","FLATS","1","3","9","862","800","3","3","0","4","3","4","1983","1983","100","N","N","N","2","N","1","127          FIR                       ST      98122","127  ","   ","  ","FIR                      ","ST  ","  ","98122"
"255819","2","Fouplex","2","2","4","552","885","3","3","0","4","4","3","1954","1991","100","N","Y","N","1","Y","1","3950      E  MADISON                   ST      98112","3950 ","   ","E ","MADISON                  ","ST  ","  ","98112"
"255950","1","MULTIPLE RESIDENCE","1","3","6","1039","750","3","3","0","4","6","4","1989","1989","100","N","Y","N","2","N","1","1430         1ST                       AVE  N  98109","1430 ","   ","  ","1ST                      ","AVE ","N ","98109"
"256000","2","Apartments orginally designed as condomi","2","3","18","761","400","3","3","33","4","5","3","1927","1994","100","N","Y","Y","2","N","1","18           GALER                     ST      ","18   ","   ","  ","GALER                    ","ST  ","  ",""
"256088","1","Townhouse, Duplex","1","2","2","2545","3001","4","3","0","4","7","3","2004","2004","100","N","N","Y","2","N","1","720          1ST                       ST   S  98033","720  ","   ","  ","1ST                      ","ST  ","S ","98033"
"256965","1","4 DET SFR RES CONDO UNITS","4","3","4","1775","2027","3","3","0","4","5","3","2019","2020","100","N","N","Y","2","N","1","15604        5TH                       AVE  NE 98155","15604","   ","  ","5TH                      ","AVE ","NE","98155"
"256970","3"," ","0","1","4","1914","0","0","0","0","4","4","0","1976","1990","0"," "," "," ","0"," ","0","120       SW 160TH                     ST      98166","120  ","   ","SW","160TH                    ","ST  ","  ","98166"
"256974","1","","0","0","6","1","0","0","0","0","4","4","3","0","0","0"," "," "," ","0"," ","0","5041         25TH                      AVE  SW ","5041 ","   ","  ","25TH                     ","AVE ","SW",""
"256984","10","2 Detached SFR","2","1","2","1250","5994","4","3","0","4","4","3","2023","2023","100","N","N","N","2","N","1","5131      S  HAZEL                     ST      98178","5131 ","   ","S ","HAZEL                    ","ST  ","  ","98178"
"260323","10","DET SFR + DADU","2","3","2","2098","2750","4","3","0","4","6","3","2022","2022","100","N","N","Y","2","N","1","4023         WILLIAMS                  AVE  W  98199","4023 ","   ","  ","WILLIAMS                 ","AVE ","W ","98199"
"260327","10","AADU's\","6","2","6","867","1437","4","3","0","4","4","3","2022","2022","100","N","N","N","2","N","1","4127         40TH                      AVE  SW 98116","4127 ","   ","  ","40TH                     ","AVE ","SW","98116"
"260331","10","SFR +DADU","2","3","2","1670","1999","4","3","0","4","4","3","2024","2024","100","N","N","N","2","N","1","4747         UNIVERSITY VIEW           PL   NE 98105","4747 ","   ","  ","UNIVERSITY VIEW          ","PL  ","NE","98105"
"260333","10","SFR+AADU+DADU+SFR+DADU","4","3","5","1444","2639","4","3","0","4","5","3","2023","2023","100","N","N","Y","2","N","1","4530         36TH                      AVE  W  ","4530 ","   ","  ","36TH                     ","AVE ","W ",""
"260336","1","","1","0","3","1","0","1","0","0","4","4","3","2025","0","0"," "," "," ","0"," ","0","4031         44TH                      AVE  SW 98116","4031 ","   ","  ","44TH                     ","AVE ","SW","98116"
"260341","10","SFR+DADU","2","2","2","2069","2621","4","3","0","4","4","3","2019","2019","100","N","N","Y","2","N","1","4256      S  SPENCER                   ST      ","4256 ","   ","S ","SPENCER                  ","ST  ","  ",""
"260345","10","SFR+AADU+DADU","3","3","3","1544","1833","4","3","0","4","5","3","2022","2022","100","N","N","N","2","N","1","4427         2ND                       AVE  NW 98107","4427 ","   ","  ","2ND                      ","AVE ","NW","98107"
"260363","1","","1","0","3","1","0","0","0","0","4","4","3","2025","0","0"," "," "," ","0"," ","0","4333         30TH                      AVE  W  98199","4333 ","   ","  ","30TH                     ","AVE ","W ","98199"
"260364","1","","1","0","3","1","0","1","0","0","4","4","3","2025","0","0"," "," "," ","0"," ","0","4027         51ST                      AVE  SW 98116","4027 ","   ","  ","51ST                     ","AVE ","SW","98116"
"260775","1","7 UNIT CONDO","1","3","7","940","771","3","3","0","4","4","4","1979","1979","100","N","N","N","1","N","1","4511         GREENWOOD                 AVE  N  98103","4511 ","   ","  ","GREENWOOD                ","AVE ","N ","98103"
"260778","1","FLATS & TOWNHOUSES","1","4","4","1492","996","5","4","0","4","5","4","1990","2000","100","Y","Y","Y","2","N","1","4115         BEACH                     DR   SW 98116","4115 ","   ","  ","BEACH                    ","DR  ","SW","98116"
"260785","1","5 UNITS","1","3","5","1101","1140","4","3","0","4","4","5","1978","1993","100","N","Y","Y","2","Y","1","4224         BEACH                     DR   SW 98116","4224 ","   ","  ","BEACH                    ","DR  ","SW","98116"
"260792","2"," ","2","3","6","820","0","3","3","0","4","4","4","1977","2001","100","N","N","N","2","Y","1","4012         CALIFORNIA                AVE  SW 98116","4012 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"260793","2","Apt Conversion","2","3","6","820","0","3","3","0","4","5","4","1977","2005","100","N","N","Y","2","Y","1","4050         CALIFORNIA                AVE  SW 98116","4050 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"260796","10","Det'd SFR + DADU + DADU","3","3","3","2003","2248","3","3","0","4","4","3","2022","2022","100","N","N","Y","2","N","1","6701         42ND                      AVE  SW 98136","6701 ","   ","  ","42ND                     ","AVE ","SW","98136"
"260797","10","SFR+DADU","2","2","2","803","3460","4","3","0","4","4","3","2022","2022","100","N","N","N","2","N","1","4837         49TH                      AVE  SW ","4837 ","   ","  ","49TH                     ","AVE ","SW",""
"260799","1","3 DET SFR CONDO UNITS","3","3","3","1713","1388","3","4","0","4","5","3","2022","2022","100","N","N","Y","2","N","1","4511         WOODLAND PARK             AVE  N  ","4511 ","   ","  ","WOODLAND PARK            ","AVE ","N ",""
